
 OUTPUT FROM bailey_pset7_problem2.m 

 Finding Eigenvectors and Eigenvalues Using Shifted Power Method 
 Using x same as the initial guess vector. 
Iter.    x(1)      x(2)          x(3)          x(4)        x(n-3)      x(n-2)      x(n-1)        x(n)        lambda       check
53 -6.51616e-01 +2.61876e-01 +8.02745e-02 +1.11013e-02 +1.11013e-02 +8.02745e-02 +2.61876e-01 -6.51616e-01 +9.87811e-04 +4.32092e-04 
54 +6.50664e-01 -2.64447e-01 -7.96211e-02 -1.01377e-02 -1.01377e-02 -7.96211e-02 -2.64447e-01 +6.50664e-01 +9.84118e-04 +4.27143e-04 
55 -6.49716e-01 +2.66981e-01 +7.89477e-02 +9.18107e-03 +9.18107e-03 +7.89477e-02 +2.66981e-01 -6.49716e-01 +9.80509e-04 +4.22329e-04 
56 +6.48771e-01 -2.69479e-01 -7.82551e-02 -8.23177e-03 -8.23177e-03 -7.82551e-02 -2.69479e-01 +6.48771e-01 +9.76980e-04 +4.17643e-04 
57 -6.47831e-01 +2.71940e-01 +7.75441e-02 +7.29003e-03 +7.29003e-03 +7.75441e-02 +2.71940e-01 -6.47831e-01 +9.73529e-04 +4.13080e-04 
58 +6.46895e-01 -2.74367e-01 -7.68153e-02 -6.35610e-03 -6.35610e-03 -7.68153e-02 -2.74367e-01 +6.46895e-01 +9.70153e-04 +4.08637e-04 
59 -6.45964e-01 +2.76759e-01 +7.60697e-02 +5.43019e-03 +5.43019e-03 +7.60697e-02 +2.76759e-01 -6.45964e-01 +9.66849e-04 +4.04308e-04 
60 +6.45036e-01 -2.79118e-01 -7.53077e-02 -4.51248e-03 -4.51248e-03 -7.53077e-02 -2.79118e-01 +6.45036e-01 +9.63614e-04 +4.00090e-04 
61 -6.44113e-01 +2.81444e-01 +7.45300e-02 +3.60316e-03 +3.60316e-03 +7.45300e-02 +2.81444e-01 -6.44113e-01 +9.60447e-04 +3.95979e-04 
62 +6.43193e-01 -2.83738e-01 -7.37373e-02 -2.70237e-03 -2.70237e-03 -7.37373e-02 -2.83738e-01 +6.43193e-01 +9.57344e-04 +3.91970e-04 
63 -6.42278e-01 +2.86001e-01 +7.29302e-02 +1.81026e-03 +1.81026e-03 +7.29302e-02 +2.86001e-01 -6.42278e-01 +9.54303e-04 +3.88060e-04 
64 +6.41367e-01 -2.88232e-01 -7.21091e-02 -9.26942e-04 -9.26942e-04 -7.21091e-02 -2.88232e-01 +6.41367e-01 +9.51323e-04 +3.84245e-04 
65 -6.40460e-01 +2.90434e-01 +7.12747e-02 +5.25280e-05 +5.25280e-05 +7.12747e-02 +2.90434e-01 -6.40460e-01 +9.48401e-04 +3.80522e-04 
66 +6.39557e-01 -2.92607e-01 -7.04276e-02 +8.12887e-04 +8.12887e-04 -7.04276e-02 -2.92607e-01 +6.39557e-01 +9.45535e-04 +3.76887e-04 
67 -6.38658e-01 +2.94750e-01 +6.95680e-02 -1.66922e-03 -1.66922e-03 +6.95680e-02 +2.94750e-01 -6.38658e-01 +9.42723e-04 +3.73337e-04 
68 +6.37763e-01 -2.96865e-01 -6.86967e-02 +2.51639e-03 +2.51639e-03 -6.86967e-02 -2.96865e-01 +6.37763e-01 +9.39964e-04 +3.69870e-04 
69 -6.36873e-01 +2.98952e-01 +6.78140e-02 -3.35435e-03 -3.35435e-03 +6.78140e-02 +2.98952e-01 -6.36873e-01 +9.37256e-04 +3.66482e-04 
70 +6.35986e-01 -3.01012e-01 -6.69203e-02 +4.18303e-03 +4.18303e-03 -6.69203e-02 -3.01012e-01 +6.35986e-01 +9.34597e-04 +3.63170e-04 
71 -6.35103e-01 +3.03046e-01 +6.60162e-02 -5.00239e-03 -5.00239e-03 +6.60162e-02 +3.03046e-01 -6.35103e-01 +9.31986e-04 +3.59932e-04 
72 +6.34224e-01 -3.05053e-01 -6.51020e-02 +5.81239e-03 +5.81239e-03 -6.51020e-02 -3.05053e-01 +6.34224e-01 +9.29422e-04 +3.56764e-04 
73 -6.33349e-01 +3.07034e-01 +6.41781e-02 -6.61300e-03 -6.61300e-03 +6.41781e-02 +3.07034e-01 -6.33349e-01 +9.26902e-04 +3.53665e-04 
74 +6.32478e-01 -3.08991e-01 -6.32449e-02 +7.40420e-03 +7.40420e-03 -6.32449e-02 -3.08991e-01 +6.32478e-01 +9.24425e-04 +3.50633e-04 
75 -6.31611e-01 +3.10922e-01 +6.23029e-02 -8.18596e-03 -8.18596e-03 +6.23029e-02 +3.10922e-01 -6.31611e-01 +9.21991e-04 +3.47664e-04 
76 +6.30748e-01 -3.12829e-01 -6.13522e-02 +8.95828e-03 +8.95828e-03 -6.13522e-02 -3.12829e-01 +6.30748e-01 +9.19598e-04 +3.44757e-04 
77 -6.29888e-01 +3.14713e-01 +6.03934e-02 -9.72114e-03 -9.72114e-03 +6.03934e-02 +3.14713e-01 -6.29888e-01 +9.17245e-04 +3.41909e-04 
78 +6.29033e-01 -3.16573e-01 -5.94267e-02 +1.04745e-02 +1.04745e-02 -5.94267e-02 -3.16573e-01 +6.29033e-01 +9.14930e-04 +3.39119e-04 
79 -6.28181e-01 +3.18410e-01 +5.84524e-02 -1.12185e-02 -1.12185e-02 +5.84524e-02 +3.18410e-01 -6.28181e-01 +9.12653e-04 +3.36384e-04 
80 +6.27333e-01 -3.20224e-01 -5.74709e-02 +1.19530e-02 +1.19530e-02 -5.74709e-02 -3.20224e-01 +6.27333e-01 +9.10412e-04 +3.33703e-04 
81 -6.26489e-01 +3.22016e-01 +5.64825e-02 -1.26781e-02 -1.26781e-02 +5.64825e-02 +3.22016e-01 -6.26489e-01 +9.08207e-04 +3.31074e-04 
82 +6.25648e-01 -3.23787e-01 -5.54875e-02 +1.33937e-02 +1.33937e-02 -5.54875e-02 -3.23787e-01 +6.25648e-01 +9.06037e-04 +3.28495e-04 
83 -6.24811e-01 +3.25536e-01 +5.44862e-02 -1.40999e-02 -1.40999e-02 +5.44862e-02 +3.25536e-01 -6.24811e-01 +9.03900e-04 +3.25965e-04 
84 +6.23977e-01 -3.27264e-01 -5.34787e-02 +1.47967e-02 +1.47967e-02 -5.34787e-02 -3.27264e-01 +6.23977e-01 +9.01795e-04 +3.23482e-04 
85 -6.23147e-01 +3.28971e-01 +5.24655e-02 -1.54842e-02 -1.54842e-02 +5.24655e-02 +3.28971e-01 -6.23147e-01 +8.99723e-04 +3.21044e-04 
86 +6.22321e-01 -3.30658e-01 -5.14467e-02 +1.61623e-02 +1.61623e-02 -5.14467e-02 -3.30658e-01 +6.22321e-01 +8.97682e-04 +3.18650e-04 
87 -6.21498e-01 +3.32325e-01 +5.04226e-02 -1.68311e-02 -1.68311e-02 +5.04226e-02 +3.32325e-01 -6.21498e-01 +8.95671e-04 +3.16299e-04 
88 +6.20679e-01 -3.33972e-01 -4.93935e-02 +1.74906e-02 +1.74906e-02 -4.93935e-02 -3.33972e-01 +6.20679e-01 +8.93690e-04 +3.13990e-04 
89 -6.19863e-01 +3.35600e-01 +4.83596e-02 -1.81408e-02 -1.81408e-02 +4.83596e-02 +3.35600e-01 -6.19863e-01 +8.91737e-04 +3.11720e-04 
90 +6.19051e-01 -3.37209e-01 -4.73211e-02 +1.87818e-02 +1.87818e-02 -4.73211e-02 -3.37209e-01 +6.19051e-01 +8.89813e-04 +3.09490e-04 
91 -6.18242e-01 +3.38800e-01 +4.62782e-02 -1.94137e-02 -1.94137e-02 +4.62782e-02 +3.38800e-01 -6.18242e-01 +8.87915e-04 +3.07297e-04 
92 +6.17437e-01 -3.40372e-01 -4.52312e-02 +2.00364e-02 +2.00364e-02 -4.52312e-02 -3.40372e-01 +6.17437e-01 +8.86045e-04 +3.05141e-04 
93 -6.16634e-01 +3.41926e-01 +4.41802e-02 -2.06499e-02 -2.06499e-02 +4.41802e-02 +3.41926e-01 -6.16634e-01 +8.84201e-04 +3.03021e-04 
94 +6.15836e-01 -3.43462e-01 -4.31255e-02 +2.12544e-02 +2.12544e-02 -4.31255e-02 -3.43462e-01 +6.15836e-01 +8.82382e-04 +3.00935e-04 
95 -6.15040e-01 +3.44981e-01 +4.20672e-02 -2.18499e-02 -2.18499e-02 +4.20672e-02 +3.44981e-01 -6.15040e-01 +8.80588e-04 +2.98882e-04 
96 +6.14248e-01 -3.46482e-01 -4.10056e-02 +2.24364e-02 +2.24364e-02 -4.10056e-02 -3.46482e-01 +6.14248e-01 +8.78819e-04 +2.96863e-04 
97 -6.13458e-01 +3.47967e-01 +3.99408e-02 -2.30140e-02 -2.30140e-02 +3.99408e-02 +3.47967e-01 -6.13458e-01 +8.77073e-04 +2.94875e-04 
98 +6.12673e-01 -3.49435e-01 -3.88730e-02 +2.35826e-02 +2.35826e-02 -3.88730e-02 -3.49435e-01 +6.12673e-01 +8.75351e-04 +2.92918e-04 
99 -6.11890e-01 +3.50886e-01 +3.78024e-02 -2.41424e-02 -2.41424e-02 +3.78024e-02 +3.50886e-01 -6.11890e-01 +8.73652e-04 +2.90991e-04 
